Condition,Receptor,Assay Mode,Concentration,Replicate,Method,Baseline,Amplitude,Tau Rise (s),Tau Decay (s),Peak Time (s),Peak Fluorescence (RFU),Transient R²
PAC-3310 + 500 nM carbachol (M1),M1,PAC-3310 antagonism,Carbachol-only Control (500 nM),4,rise-decay fit,60.27726390787432,5.921240504134595,99.99999999999999,499.9999999999993,201.17973905426246,63.445081652333286,0.6891864076097023
Carbachol dose titration (M3),M3,Carbachol agonism,-5.0,1,rise-decay fit,75.41619645456746,12.783235538519184,4.832234462704087,109.8697396057355,15.790316813372353,86.0011981463938,0.8864497548950997
Carbachol dose titration (M3),M3,Carbachol agonism,-5.0,2,rise-decay fit,81.82540626576981,24.323082355446672,9.573725104577896,97.29391944837454,24.621486708398344,98.85203442349528,0.8928209008247439
Carbachol dose titration (M3),M3,Carbachol agonism,-5.0,3,rise-decay fit,81.45730244159526,31.326973796570968,17.045452089549478,79.40843688736985,33.3970582201224,97.61301366071588,0.8954575472347159
Carbachol dose titration (M3),M3,Carbachol agonism,-5.0,4,rise-decay fit,76.60882359261613,23.571237946208207,10.182991917258622,96.13643775768169,25.569725242619644,92.7615904030808,0.8809034532074599
Carbachol dose titration (M3),M3,Carbachol agonism,-6.0,1,rise-decay fit,71.08240910205421,14.906845212102658,7.151128265559383,103.1257349724331,20.506030246138472,82.45390941045838,0.8597057979112701
Carbachol dose titration (M3),M3,Carbachol agonism,-6.0,2,rise-decay fit,77.15294573870864,44.87600216540188,24.512134629683693,66.33586830670778,38.70573023694352,92.93944700867168,0.8996655969939995
Carbachol dose titration (M3),M3,Carbachol agonism,-6.0,3,rise-decay fit,75.5020764169866,42.64904934589441,23.50585585545816,69.1452346849333,38.42410577563295,91.65119265287159,0.8994036425101324
Carbachol dose titration (M3),M3,Carbachol agonism,-6.0,4,rise-decay fit,72.64864234211869,109.36789973114608,37.61827067710823,52.247846702828255,44.13493820063996,85.80679259079372,0.909799660503914
Carbachol dose titration (M3),M3,Carbachol agonism,-7.0,1,rise-decay fit,59.20727890482333,11.652995124370266,5.897119732181459,114.51313814083817,18.441895159381865,68.61608874530853,0.8385031103248063
