Condition,Receptor,Assay Mode,Fixed Carbachol (nM),Concentration (log M),Concentration (M),Replicate,Peak Fluorescence (RFU),F0 (RFU),F0 Source,ΔF/F0,Transient Fit Method,Transient R²,PAC-3310 Activation (% Max Carbachol),Control-referenced % Inhibition,Range-referenced % Inhibition
PAC-3310 + 500 nM carbachol (M1),M1,PAC-3310 antagonism,500.0,-9.0,1e-09,3,69.77462813703764,32.705128205128204,PAC-3310 dose titration (M1) / Vehicle Control,1.1334460974868428,rise-decay fit,0.878611299640708,,-20.611250465121532,3.23544499723023
PAC-3310 + 500 nM carbachol (M1),M1,PAC-3310 antagonism,500.0,-9.0,1e-09,4,65.94085940489352,32.705128205128204,PAC-3310 dose titration (M1) / Vehicle Control,1.0162238469547997,rise-decay fit,0.16679092884016988,,-8.13750138225473,13.242942428565296
PAC-3310 + 500 nM carbachol (M1),M1,PAC-3310 antagonism,500.0,-10.0,1e-10,1,64.03690230694257,32.705128205128204,PAC-3310 dose titration (M1) / Vehicle Control,0.9580079890009879,rise-decay fit,0.7096704797265108,,-1.942687671856258,18.212946385079377
PAC-3310 + 500 nM carbachol (M1),M1,PAC-3310 antagonism,500.0,-10.0,1e-10,2,62.61236652419914,32.705128205128204,PAC-3310 dose titration (M1) / Vehicle Control,0.9144510344521886,rise-decay fit,0.7376615458571951,,2.6922559449875427,21.931490507764817
PAC-3310 + 500 nM carbachol (M1),M1,PAC-3310 antagonism,500.0,-10.0,1e-10,3,65.6007228747306,32.705128205128204,PAC-3310 dose titration (M1) / Vehicle Control,1.0058237492077564,rise-decay fit,0.8466056058384703,,-7.030815500136756,14.130819525420035
PAC-3310 + 500 nM carbachol (M1),M1,PAC-3310 antagonism,500.0,-10.0,1e-10,4,64.79723297585778,32.705128205128204,PAC-3310 dose titration (M1) / Vehicle Control,0.9812560455181917,rise-decay fit,0.6887681469474375,,-4.416539029799904,16.228213411403424
PAC-3310 + 500 nM carbachol (M1),M1,PAC-3310 antagonism,500.0,-11.0,1e-11,1,64.78112581439926,32.705128205128204,PAC-3310 dose titration (M1) / Vehicle Control,0.9807635490094639,rise-decay fit,0.9111993449244837,,-4.364131932630433,16.270258821073213
PAC-3310 + 500 nM carbachol (M1),M1,PAC-3310 antagonism,500.0,-11.0,1e-11,2,60.35432683576888,32.705128205128204,PAC-3310 dose titration (M1) / Vehicle Control,0.8454086605997542,rise-decay fit,0.8873628134376002,,10.039131163744198,27.825775729601954
PAC-3310 + 500 nM carbachol (M1),M1,PAC-3310 antagonism,500.0,-11.0,1e-11,3,68.41764219243795,32.705128205128204,PAC-3310 dose titration (M1) / Vehicle Control,1.0919545633124894,rise-decay fit,0.669679629363835,,-16.19609051037727,6.777660061242241
PAC-3310 + 500 nM carbachol (M1),M1,PAC-3310 antagonism,500.0,-11.0,1e-11,4,64.29101371595107,32.705128205128204,PAC-3310 dose titration (M1) / Vehicle Control,0.9657777616010127,rise-decay fit,0.4968841130334696,,-2.7694777514167157,17.549625394534583
Carbachol dose titration (M3),M3,Carbachol agonism,,-5.0,1e-05,1,86.0011981463938,40.700819672131146,Carbachol dose titration (M3) / Vehicle Control,1.1130089968502759,rise-decay fit,0.8864497548950997,,,
Carbachol dose titration (M3),M3,Carbachol agonism,,-5.0,1e-05,2,98.85203442349528,40.700819672131146,Carbachol dose titration (M3) / Vehicle Control,1.428748001141159,rise-decay fit,0.8928209008247439,,,
Carbachol dose titration (M3),M3,Carbachol agonism,,-5.0,1e-05,3,97.61301366071588,40.700819672131146,Carbachol dose titration (M3) / Vehicle Control,1.3983058436426015,rise-decay fit,0.8954575472347159,,,
Carbachol dose titration (M3),M3,Carbachol agonism,,-5.0,1e-05,4,92.7615904030808,40.700819672131146,Carbachol dose titration (M3) / Vehicle Control,1.2791086555585254,rise-decay fit,0.8809034532074599,,,
Carbachol dose titration (M3),M3,Carbachol agonism,,-6.0,1e-06,1,82.45390941045838,40.700819672131146,Carbachol dose titration (M3) / Vehicle Control,1.0258537807020285,rise-decay fit,0.8597057979112701,,,
