Time (s),PAC-3310 Concentration (log M),Replicate,Fluorescence (RFU)
18,-7.0,1,34
24,-7.0,1,34
30,-7.0,1,34
36,-7.0,1,34
42,-7.0,1,35
48,-7.0,1,34
54,-7.0,1,35
60,-7.0,1,35
66,-7.0,1,35
72,-7.0,1,35
78,-7.0,1,35
84,-7.0,1,35
90,-7.0,1,35
96,-7.0,1,36
102,-7.0,1,35
108,-7.0,1,36
114,-7.0,1,35
120,-7.0,1,36
126,-7.0,1,35
132,-7.0,1,36
138,-7.0,1,36
144,-7.0,1,36
150,-7.0,1,36
156,-7.0,1,35
162,-7.0,1,36
168,-7.0,1,35
174,-7.0,1,36
180,-7.0,1,36
186,-7.0,1,36
192,-7.0,1,36
198,-7.0,1,36
204,-7.0,1,36
210,-7.0,1,36
216,-7.0,1,36
222,-7.0,1,36
228,-7.0,1,36
234,-7.0,1,36
240,-7.0,1,35
246,-7.0,1,36
252,-7.0,1,36
258,-7.0,1,35
264,-7.0,1,35
270,-7.0,1,35
276,-7.0,1,35
282,-7.0,1,36
288,-7.0,1,35
294,-7.0,1,36
300,-7.0,1,36
0,-7.0,2,33
5,-7.0,2,34
10,-7.0,2,34
15,-7.0,2,34
20,-7.0,2,34
25,-7.0,2,34
30,-7.0,2,34
35,-7.0,2,34
40,-7.0,2,34
45,-7.0,2,34
50,-7.0,2,34
55,-7.0,2,35
60,-7.0,2,35
65,-7.0,2,35
70,-7.0,2,35
75,-7.0,2,35
80,-7.0,2,35
85,-7.0,2,35
90,-7.0,2,35
95,-7.0,2,35
100,-7.0,2,35
105,-7.0,2,35
110,-7.0,2,35
115,-7.0,2,35
120,-7.0,2,35
125,-7.0,2,35
130,-7.0,2,35
135,-7.0,2,35
140,-7.0,2,35
145,-7.0,2,35
150,-7.0,2,36
155,-7.0,2,36
160,-7.0,2,36
165,-7.0,2,36
170,-7.0,2,35
175,-7.0,2,36
180,-7.0,2,35
185,-7.0,2,36
190,-7.0,2,35
195,-7.0,2,36
200,-7.0,2,35
205,-7.0,2,35
210,-7.0,2,35
215,-7.0,2,35
220,-7.0,2,35
225,-7.0,2,35
230,-7.0,2,35
235,-7.0,2,35
240,-7.0,2,35
245,-7.0,2,36
250,-7.0,2,35
255,-7.0,2,35
260,-7.0,2,35
265,-7.0,2,35
270,-7.0,2,35
275,-7.0,2,35
280,-7.0,2,35
285,-7.0,2,35
290,-7.0,2,35
295,-7.0,2,35
300,-7.0,2,35
0,-7.0,3,34
5,-7.0,3,34
10,-7.0,3,34
15,-7.0,3,34
20,-7.0,3,35
25,-7.0,3,35
30,-7.0,3,35
35,-7.0,3,35
40,-7.0,3,35
45,-7.0,3,35
50,-7.0,3,35
55,-7.0,3,35
60,-7.0,3,35
65,-7.0,3,35
70,-7.0,3,35
75,-7.0,3,35
80,-7.0,3,36
85,-7.0,3,36
90,-7.0,3,35
95,-7.0,3,36
100,-7.0,3,36
105,-7.0,3,36
110,-7.0,3,36
115,-7.0,3,36
120,-7.0,3,36
125,-7.0,3,36
130,-7.0,3,36
135,-7.0,3,36
140,-7.0,3,36
145,-7.0,3,36
150,-7.0,3,36
155,-7.0,3,36
160,-7.0,3,36
165,-7.0,3,36
170,-7.0,3,36
175,-7.0,3,36
180,-7.0,3,36
185,-7.0,3,36
190,-7.0,3,36
195,-7.0,3,36
200,-7.0,3,36
205,-7.0,3,36
210,-7.0,3,36
215,-7.0,3,36
220,-7.0,3,36
225,-7.0,3,36
230,-7.0,3,36
235,-7.0,3,36
240,-7.0,3,36
245,-7.0,3,36
250,-7.0,3,35
255,-7.0,3,36
260,-7.0,3,35
265,-7.0,3,36
270,-7.0,3,36
275,-7.0,3,35
280,-7.0,3,36
285,-7.0,3,36
290,-7.0,3,36
295,-7.0,3,36
300,-7.0,3,36
0,-7.0,4,34
5,-7.0,4,35
10,-7.0,4,35
15,-7.0,4,35
20,-7.0,4,35
25,-7.0,4,35
30,-7.0,4,36
35,-7.0,4,36
40,-7.0,4,36
45,-7.0,4,36
50,-7.0,4,36
55,-7.0,4,36
60,-7.0,4,36
65,-7.0,4,36
70,-7.0,4,36
75,-7.0,4,36
80,-7.0,4,37
85,-7.0,4,37
90,-7.0,4,37
95,-7.0,4,37
100,-7.0,4,37
105,-7.0,4,37
110,-7.0,4,37
115,-7.0,4,37
120,-7.0,4,37
125,-7.0,4,37
130,-7.0,4,37
135,-7.0,4,37
140,-7.0,4,37
145,-7.0,4,37
150,-7.0,4,37
155,-7.0,4,37
160,-7.0,4,37
165,-7.0,4,37
170,-7.0,4,37
175,-7.0,4,37
180,-7.0,4,37
185,-7.0,4,37
190,-7.0,4,37
195,-7.0,4,37
200,-7.0,4,37
