Condition,Receptor,Assay Mode,Fixed Carbachol (nM),Compound,Well,Plate Row,Replicate,Condition Label,Concentration (log M),Concentration (M),Corrected Fluorescence,B/B0,Measured cAMP (pmol/mL),Real-sample cAMP (pmol/mL),Standard-curve Linear Range Flag,Is Control,Normalized Response,Normalized Endpoint
PAC-3310 dose titration (M2),M2,PAC-3310 agonism,,PAC-3310,C2,C,3,Vehicle Control,,,0.301,0.28422619047619047,32.552539325641355,162.76269662820678,Within 20–80% B/B0,True,85.5005242654473,cAMP (% Vehicle Control)
PAC-3310 dose titration (M2),M2,PAC-3310 agonism,,PAC-3310,C3,C,3,-5.0,-5.0,1e-05,0.305,0.2901785714285714,31.38434817815018,156.9217408907509,Within 20–80% B/B0,False,82.43222429186967,cAMP (% Vehicle Control)
PAC-3310 dose titration (M2),M2,PAC-3310 agonism,,PAC-3310,C4,C,3,-6.0,-6.0,1e-06,0.266,0.23214285714285718,45.858078002257145,229.29039001128572,Within 20–80% B/B0,False,120.44804467559034,cAMP (% Vehicle Control)
PAC-3310 dose titration (M2),M2,PAC-3310 agonism,,PAC-3310,C5,C,3,-7.0,-7.0,1e-07,0.268,0.23511904761904764,44.90992914694281,224.54964573471403,Within 20–80% B/B0,False,117.95769443286125,cAMP (% Vehicle Control)
PAC-3310 dose titration (M2),M2,PAC-3310 agonism,,PAC-3310,C6,C,3,-8.0,-8.0,1e-08,0.224,0.16964285714285715,75.0484128254248,375.242064127124,Outside 20–80% B/B0,False,197.11760663811492,cAMP (% Vehicle Control)
PAC-3310 dose titration (M2),M2,PAC-3310 agonism,,PAC-3310,C7,C,3,-9.0,-9.0,1e-09,0.247,0.20386904761904762,56.49978793053729,282.49893965268643,Within 20–80% B/B0,False,148.39891415605726,cAMP (% Vehicle Control)
PAC-3310 dose titration (M2),M2,PAC-3310 agonism,,PAC-3310,C8,C,3,-10.0,-10.0,1e-10,0.241,0.1949404761904762,60.61495718037132,303.0747859018566,Outside 20–80% B/B0,False,159.20756796896302,cAMP (% Vehicle Control)
PAC-3310 dose titration (M2),M2,PAC-3310 agonism,,PAC-3310,C9,C,3,-11.0,-11.0,1e-11,0.265,0.23065476190476192,46.34287918267394,231.71439591336969,Within 20–80% B/B0,False,121.72139403477516,cAMP (% Vehicle Control)
PAC-3310 dose titration (M2),M2,PAC-3310 agonism,,PAC-3310,D2,D,4,Vehicle Control,,,0.279,0.2514880952380953,40.160197416024765,200.80098708012383,Within 20–80% B/B0,True,105.48233731705437,cAMP (% Vehicle Control)
PAC-3310 dose titration (M2),M2,PAC-3310 agonism,,PAC-3310,D3,D,4,-5.0,-5.0,1e-05,0.29,0.26785714285714285,36.08324973166303,180.41624865831517,Within 20–80% B/B0,False,94.77407394845274,cAMP (% Vehicle Control)
PAC-3310 dose titration (M2),M2,PAC-3310 agonism,,PAC-3310,D4,D,4,-6.0,-6.0,1e-06,0.228,0.17559523809523808,71.21804604694763,356.09023023473816,Outside 20–80% B/B0,False,187.05699771256843,cAMP (% Vehicle Control)
PAC-3310 dose titration (M2),M2,PAC-3310 agonism,,PAC-3310,D5,D,4,-7.0,-7.0,1e-07,0.258,0.22023809523809526,49.9516211601766,249.75810580088302,Within 20–80% B/B0,False,131.19989670790343,cAMP (% Vehicle Control)
PAC-3310 dose titration (M2),M2,PAC-3310 agonism,,PAC-3310,D6,D,4,-8.0,-8.0,1e-08,0.272,0.2410714285714286,43.095387489493675,215.47693744746837,Within 20–80% B/B0,False,113.19172943512638,cAMP (% Vehicle Control)
PAC-3310 dose titration (M2),M2,PAC-3310 agonism,,PAC-3310,D7,D,4,-9.0,-9.0,1e-09,0.238,0.19047619047619047,62.84116116220303,314.2058058110151,Outside 20–80% B/B0,False,165.0547802452264,cAMP (% Vehicle Control)
